#SASDB SASDEM2
#Sample description: Merged from concentrations 2.00 and 7.50 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.Yl2596 C:/Users/vives/AppDa
 1.993590e-002 -1.333381e+004  3.964289e+003
 2.257060e-002 -8.948793e+002  1.491322e+003
 2.520520e-002  2.276625e+003  8.482519e+002
 2.783990e-002  6.111601e+002  7.060032e+002
 3.047450e-002  2.322564e+002  6.090721e+002
 3.310920e-002  3.717664e+002  4.757396e+002
 3.574380e-002  4.690843e+002  3.698591e+002
 3.837850e-002  2.637259e+002  3.089437e+002
 4.101320e-002  4.880137e+002  2.444929e+002
 4.364780e-002 -3.718274e+001  2.097505e+002
 4.628250e-002  2.526265e+002  1.774176e+002
 4.891710e-002  2.992728e+002  1.517078e+002
 5.155180e-002  1.276249e+002  1.324038e+002
 5.418640e-002  1.155557e+002  1.137448e+002
 5.682110e-002  2.094535e+002  1.057621e+002
 5.945570e-002  1.771140e+002  9.468842e+001
 6.209040e-002  2.499367e+002  8.350301e+001
 6.472500e-002  1.904499e+002  7.771226e+001
 6.735970e-002  1.666053e+002  6.987385e+001
 6.999440e-002  1.114618e+002  6.624080e+001
 7.262900e-002  1.251346e+002  6.108908e+001
 7.526370e-002  2.069444e+002  5.671681e+001
 7.789830e-002  1.653928e+002  5.501327e+001
 8.053300e-002  1.370796e+002  4.947366e+001
 8.316760e-002  1.683685e+002  4.833401e+001
 8.580230e-002  1.836218e+002  4.567681e+001
 8.843690e-002  1.787487e+002  4.328026e+001
 9.107160e-002  1.889725e+002  4.210782e+001
 9.370620e-002  1.708234e+002  3.999533e+001
 9.634090e-002  2.251135e+002  3.857928e+001
 9.897560e-002  1.466031e+002  3.688816e+001
 1.016100e-001  1.671472e+002  3.578232e+001
 1.042450e-001  1.697184e+002  3.434167e+001
 1.068800e-001  1.845671e+002  3.374408e+001
 1.095140e-001  1.529801e+002  3.347954e+001
 1.121490e-001  1.223295e+002  3.152830e+001
 1.147830e-001  1.335431e+002  3.061353e+001
 1.174180e-001  1.801373e+002  2.972502e+001
 1.200530e-001  1.508533e+002  2.946070e+001
 1.226870e-001  1.632328e+002  2.857596e+001
 1.253220e-001  1.969887e+002  2.825378e+001
 1.279570e-001  1.805851e+002  2.828382e+001
 1.305910e-001  1.733126e+002  2.742147e+001
 1.332260e-001  1.803579e+002  2.737525e+001
 1.358610e-001  1.825866e+002  2.638944e+001
 1.384950e-001  1.622353e+002  2.587187e+001
 1.411300e-001  1.610827e+002  2.530443e+001
 1.437650e-001  1.751700e+002  2.481092e+001
 1.463990e-001  1.960844e+002  2.534533e+001
 1.490340e-001  1.775451e+002  2.448819e+001
 1.516690e-001  1.912467e+002  2.440362e+001
 1.543030e-001  1.690202e+002  2.491332e+001
 1.569380e-001  1.672082e+002  2.416911e+001
 1.595730e-001  1.867671e+002  2.487697e+001
 1.622070e-001  1.491022e+002  2.409331e+001
 1.648420e-001  1.572525e+002  2.432494e+001
 1.674770e-001  1.876227e+002  2.426376e+001
 1.701110e-001  1.294170e+002  2.355668e+001
 1.727460e-001  1.414839e+002  2.357131e+001
 1.753810e-001  1.501130e+002  2.374442e+001
 1.780150e-001  1.810498e+002  1.266733e+001
 1.806500e-001  1.815173e+002  1.243052e+001
 1.832840e-001  1.648325e+002  1.233982e+001
 1.859190e-001  1.703153e+002  1.235723e+001
 1.885540e-001  1.798222e+002  1.227426e+001
 1.911880e-001  1.754514e+002  1.231189e+001
 1.938230e-001  1.749917e+002  1.217327e+001
 1.964580e-001  1.680728e+002  1.209256e+001
 1.990920e-001  1.713904e+002  1.209593e+001
 2.017270e-001  1.555931e+002  1.185087e+001
 2.043620e-001  1.710374e+002  1.178543e+001
 2.069960e-001  1.711341e+002  1.172602e+001
 2.096310e-001  1.588323e+002  1.170232e+001
 2.122660e-001  1.563814e+002  1.152578e+001
 2.149000e-001  1.733678e+002  1.180032e+001
 2.175350e-001  1.650985e+002  1.163625e+001
 2.201700e-001  1.730761e+002  1.164805e+001
 2.228040e-001  1.693057e+002  1.170389e+001
 2.254390e-001  1.712210e+002  1.150024e+001
 2.280740e-001  1.592093e+002  1.133358e+001
 2.307080e-001  1.569795e+002  1.128505e+001
 2.333430e-001  1.696416e+002  1.134787e+001
 2.359780e-001  1.614569e+002  1.135007e+001
 2.386120e-001  1.666815e+002  1.121218e+001
 2.412470e-001  1.676708e+002  1.131134e+001
 2.438820e-001  1.670396e+002  1.117632e+001
 2.465160e-001  1.560549e+002  1.109674e+001
 2.491510e-001  1.711584e+002  1.110321e+001
 2.517860e-001  1.673923e+002  1.100440e+001
 2.544200e-001  1.662730e+002  1.113076e+001
 2.570550e-001  1.622385e+002  1.075767e+001
 2.596890e-001  1.648231e+002  1.063991e+001
 2.623240e-001  1.672524e+002  1.081556e+001
 2.649590e-001  1.555504e+002  1.074434e+001
 2.675930e-001  1.564208e+002  1.067066e+001
 2.702280e-001  1.652753e+002  1.063290e+001
 2.728630e-001  1.666353e+002  1.069589e+001
 2.754970e-001  1.618875e+002  1.051983e+001
 2.781320e-001  1.572604e+002  1.047405e+001
 2.807670e-001  1.378910e+002  1.030226e+001
 2.834010e-001  1.565349e+002  1.032645e+001
 2.860360e-001  1.563030e+002  1.051025e+001
 2.886710e-001  1.488076e+002  1.030781e+001
 2.913050e-001  1.668284e+002  1.033748e+001
 2.939400e-001  1.575877e+002  1.027235e+001
 2.965750e-001  1.496356e+002  1.015401e+001
 2.992090e-001  1.469052e+002  1.015631e+001
 3.018440e-001  1.408686e+002  1.003390e+001
 3.044790e-001  1.478476e+002  1.008031e+001
 3.071130e-001  1.520413e+002  9.951954e+000
 3.097480e-001  1.446165e+002  9.924992e+000
 3.123830e-001  1.574193e+002  1.004190e+001
 3.150170e-001  1.553628e+002  9.856131e+000
 3.176520e-001  1.457404e+002  9.981824e+000
